Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount ,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
16,56,Female,Shirt,Clothing,75,North Dakota,M,Magenta,Summer,3.8,No,Express,No,18,Bank Transfer,Every 3 Months
17,42,Female,Hoodie,Clothing,23,Wisconsin,L,Purple,Winter,3.3,No,Store Pickup,No,33,Debit Card,Fortnightly
18,52,Female,Handbag,Accessories,47,Ohio,XL,Indigo,Summer,3.2,No,Next Day Air,No,39,PayPal,Monthly
19,30,Female,Gloves,Accessories,71,Colorado,L,Green,Winter,3.1,No,Express,No,18,Bank Transfer,Annually
20,21,Male,Hat,Accessories,34,Maine,M,Olive,Summer,3.8,No,Standard,No,13,Bank Transfer,Annually
21,70,Male,Phone,Electronics,0,Los Angeles,,Green,Autumn,,Yes,Standard,Yes,25,Cash,Weekly
22,58,Male,Jacket,Outerwear,80,California,L,Blue,Fall,2.5,Yes,Express,Yes,28,Cash,Bi-Weekly
23,33,Male,T-shirt,Clothing,83,Massachusetts,S,Olive,Spring,3,No,Next Day Air,Yes,6,Venmo,Every 3 Months
24,60,Female,Shoes,Footwear,49,Pennsylvania,M,White,Spring,3.2,No,Store Pickup,No,25,Cash,Every 3 Months
25,68,Other,Phone,Clothing,1032,Phoenix,L,Black,Summer,,No,Express,No,,PayPal,Monthly
26,41,Male,Pants,Clothing,26,Arkansas,L,Yellow,Winter,4.5,No,Next Day Air,Yes,6,Debit Card,Monthly
27,34,Female,Phone,Accessories,1282,New York,S,Red,Autumn,,No,Express,Yes,36,PayPal,Weekly
28,66,Female,Gloves,Accessories,31,Montana,L,Black,Spring,2.6,No,Store Pickup,No,20,Venmo,Weekly
29,58,Female,Shirt,Clothing,45,Colorado,XL,White,Winter,2.9,No,Store Pickup,No,50,Venmo,Annually
30,34,Male,T-shirt,Clothing,70,Indiana,L,Charcoal,Winter,4.1,No,Free Shipping,Yes,50,Venmo,Quarterly
31,23,Male,Backpack,Accessories,30,Vermont,M,Green,Spring,4.6,No,2-Day Shipping,No,24,PayPal,Fortnightly
32,38,Male,Socks,Clothing,91,Maryland,M,Lavender,Spring,3.2,No,Standard,Yes,8,PayPal,Bi-Weekly
33,66,Male,Jewelry,Accessories,24,Wisconsin,XL,Orange,Spring,4.5,Yes,Express,Yes,24,Debit Card,Annually
34,49,Male,Jeans,Clothing,50,New Mexico,L,Violet,Spring,4.7,Yes,Next Day Air,Yes,5,Cash,Weekly
35,21,Female,Handbag,Accessories,56,Arkansas,M,Olive,Spring,4.7,No,Store Pickup,No,45,Venmo,Bi-Weekly
36,46,Other,Bag,Clothing,0,Los Angeles,M,White,Summer,,Yes,Express,No,31,PayPal,Monthly
37,69,Male,Jacket,Outerwear,33,Michigan,S,Magenta,Spring,3.8,No,2-Day Shipping,Yes,16,Debit Card,Every 3 Months
38,70,Male,Belt,Accessories,46,Connecticut,M,Lavender,Winter,3.4,No,Next Day Air,Yes,15,Credit Card,Bi-Weekly
39,67,Female,Watch,Electronics,0,Los Angeles,,Red,Autumn,,No,Express,No,47,PayPal,Quarterly
40,24,Other,Bag,Accessories,0,Los Angeles,L,Red,Spring,,No,Standard,No,4,PayPal,Quarterly
41,65,Male,Headphones,Accessories,0,New York,S,Black,Summer,,No,Standard,Yes,47,Cash,Weekly
42,43,Male,Blouse,Clothing,55,Louisiana,M,Beige,Spring,4.6,No,2-Day Shipping,No,37,Bank Transfer,Annually
43,39,Male,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,Yes,31,Debit Card,Annually
44,59,Male,Jewelry,Accessories,32,Maryland,M,Indigo,Spring,3,Yes,Express,Yes,28,Cash,Bi-Weekly
45,23,Male,Sandals,Footwear,59,Indiana,M,Blue,Fall,3.5,No,2-Day Shipping,Yes,1,PayPal,Weekly
46,23,Male,Skirt,Clothing,23,Oregon,S,Beige,Spring,4.9,No,Standard,Yes,34,Cash,Monthly
47,40,Male,Skirt,Clothing,57,Minnesota,L,Orange,Fall,2.8,No,Store Pickup,No,12,PayPal,Every 3 Months
48,53,Male,Shoes,Footwear,68,New York,L,Violet,Fall,3.2,Yes,Express,Yes,20,Debit Card,Monthly
49,34,Male,Jewelry,Accessories,52,Kansas,XL,Maroon,Winter,3.6,No,Express,Yes,39,Bank Transfer,Annually
50,47,Other,Watch,Electronics,0,Houston,,Green,Summer,,Yes,Express,Yes,28,PayPal,Monthly
51,36,Female,Phone,Accessories,749,Los Angeles,L,Red,Summer,,No,Express,No,0,PayPal,Monthly
52,33,Female,Bag,Electronics,0,New York,,Green,Winter,4,Yes,Standard,Yes,31,Debit Card,Quarterly
53,20,Female,Laptop,Electronics,0,Houston,,Green,Summer,,No,Express,No,17,Debit Card,Monthly
54,44,Male,Sweater,Clothing,95,Vermont,M,Cyan,Summer,3.9,No,2-Day Shipping,Yes,47,Bank Transfer,Monthly
55,55,Female,Watch,Clothing,0,New York,M,Black,Autumn,5,No,Express,Yes,,Debit Card,Quarterly
56,26,Female,Scarf,Accessories,53,South Dakota,M,Charcoal,Fall,4.1,No,Free Shipping,No,9,Bank Transfer,Bi-Weekly
57,60,Male,Socks,Clothing,83,New Jersey,XL,Beige,Summer,3.6,No,Free Shipping,Yes,16,PayPal,Quarterly
58,29,Female,Skirt,Clothing,86,Pennsylvania,L,Charcoal,Spring,4.4,No,Free Shipping,No,47,Credit Card,Bi-Weekly
59,49,Male,Phone,Clothing,0,Houston,M,Black,Summer,,No,Express,No,,PayPal,Weekly
60,56,Female,Coat,Outerwear,25,New Hampshire,M,Gold,Spring,4.1,No,Express,No,27,PayPal,Bi-Weekly
61,68,Male,Sunglasses,Accessories,24,North Carolina,L,Violet,Summer,3.2,No,Standard,Yes,40,Cash,Annually
62,23,Male,Hat,Accessories,44,Hawaii,L,Pink,Winter,4,No,Standard,Yes,37,Credit Card,Weekly
63,50,Female,Jacket,Outerwear,31,Montana,M,Gray,Summer,4,No,Express,No,25,Bank Transfer,Annually
64,59,Male,Sandals,Footwear,83,Nebraska,S,Black,Summer,4,No,Next Day Air,No,26,Credit Card,Every 3 Months
65,34,Female,Hoodie,Clothing,53,Virginia,L,Pink,Winter,5,No,Express,No,4,Credit Card,Weekly
66,47,Other,Shirt,Clothing,557,Los Angeles,L,White,Autumn,,No,Express,Yes,27,PayPal,Weekly
67,30,Male,Shoes,Footwear,66,New Mexico,L,Brown,Winter,3.6,No,Express,No,32,Credit Card,Fortnightly
68,42,Female,Watch,Accessories,0,Chicago,L,Blue,Autumn,,No,Standard,Yes,,Cash,Weekly
69,65,Male,Shorts,Clothing,20,Maine,M,Magenta,Spring,5,Yes,Store Pickup,Yes,33,Debit Card,Fortnightly
70,19,Female,Shirt,Accessories,692,New York,M,Red,Summer,,No,Express,Yes,41,Debit Card,Weekly
71,33,Male,Sneakers,Footwear,43,Iowa,S,Cyan,Winter,3.9,No,Next Day Air,No,5,Credit Card,Weekly
72,18,Male,Coat,Outerwear,33,Oklahoma,S,Blue,Summer,4.4,No,Free Shipping,Yes,48,Bank Transfer,Monthly
73,41,Other,Bag,Accessories,208,Los Angeles,M,White,Autumn,,No,Standard,Yes,,PayPal,Monthly
74,59,Female,Laptop,Clothing,0,Phoenix,M,Green,Spring,1,Yes,Standard,Yes,38,Debit Card,Weekly
75,27,Other,Laptop,Electronics,0,Houston,,Blue,Summer,,Yes,Express,Yes,,Credit Card,Weekly
76,69,Female,Handbag,Accessories,64,Kentucky,M,Gold,Spring,4.5,No,Free Shipping,No,18,Cash,Bi-Weekly
77,62,Female,Shoes,Footwear,99,Minnesota,M,Charcoal,Spring,4.9,No,Free Shipping,No,32,Bank Transfer,Weekly
78,59,Male,Gloves,Accessories,23,Florida,S,Indigo,Fall,4.6,No,Free Shipping,No,22,Debit Card,Bi-Weekly
79,62,Female,Shirt,Clothing,84,North Carolina,M,Charcoal,Spring,3.1,No,Free Shipping,No,29,Bank Transfer,Monthly
80,34,Female,Shorts,Clothing,45,Delaware,M,Brown,Spring,2.7,No,Free Shipping,No,48,Cash,Fortnightly
81,55,Female,Jeans,Clothing,70,Utah,M,Pink,Fall,2.6,No,Express,No,29,Cash,Monthly
82,20,Female,Handbag,Accessories,24,Wisconsin,M,Cyan,Fall,4.6,No,Standard,No,11,Cash,Fortnightly
83,51,Other,Shirt,Clothing,1399,Chicago,XL,Red,Summer,2,Yes,Express,No,7,PayPal,Monthly
84,26,Female,Headphones,Accessories,500,Phoenix,M,Red,Winter,3,No,Express,No,,PayPal,Monthly
85,62,Male,Shorts,Clothing,52,Virginia,S,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,8,Cash,Weekly
86,48,Female,Hat,Accessories,50,New Jersey,M,Peach,Fall,2.9,No,Store Pickup,No,26,Credit Card,Monthly
87,39,Female,Hoodie,Clothing,85,Illinois,S,Olive,Winter,3.4,No,Next Day Air,No,18,Cash,Weekly
88,38,Female,Skirt,Clothing,33,Florida,M,White,Fall,4.6,No,Standard,No,18,Bank Transfer,Fortnightly
89,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44,Debit Card,Quarterly
90,35,Male,Sunglasses,Accessories,95,North Dakota,M,Cyan,Spring,4,Yes,2-Day Shipping,Yes,40,Debit Card,Every 3 Months
91,66,Male,Pants,Clothing,52,South Carolina,M,Teal,Fall,4.2,No,2-Day Shipping,No,35,Credit Card,Monthly
92,70,Male,Jewelry,Accessories,69,Alaska,L,Gold,Summer,3.4,Yes,Standard,Yes,19,Bank Transfer,Fortnightly
93,59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,5,Credit Card,Fortnightly
94,47,Male,Jeans,Clothing,64,Maine,M,Magenta,Spring,3.9,No,Standard,Yes,29,Credit Card,Monthly
95,47,Female,Shorts,Clothing,64,Connecticut,M,Black,Spring,4.1,No,Express,No,2,Debit Card,Quarterly
96,67,Male,Watch,Clothing,498,New York,XL,Blue,Winter,,Yes,Standard,Yes,20,Debit Card,Monthly
97,67,Other,Shoes,Accessories,0,Los Angeles,M,Red,Spring,,No,Express,No,31,Credit Card,Monthly
98,52,Male,Laptop,Electronics,1392,Phoenix,,White,Winter,2,Yes,Standard,Yes,,Cash,Quarterly
99,41,Female,Shoes,Electronics,0,Los Angeles,,Black,Winter,,No,Standard,Yes,10,Credit Card,Quarterly
100,45,Female,Sneakers,Footwear,69,Virginia,M,Violet,Spring,3.4,No,Standard,No,14,Venmo,Bi-Weekly
101,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4,Bank Transfer,Annually
102,23,Male,Shoes,Clothing,390,Chicago,XL,Black,Autumn,,No,Standard,No,,Credit Card,Weekly
103,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly
104,55,Female,Handbag,Accessories,71,Louisiana,S,Lavender,Fall,4.6,No,Store Pickup,No,15,PayPal,Bi-Weekly
105,52,Male,Hoodie,Clothing,73,Louisiana,L,Pink,Summer,3.1,No,Next Day Air,No,2,Cash,Quarterly
106,34,Male,Sunglasses,Accessories,94,California,S,Yellow,Winter,4.6,No,Next Day Air,No,1,Debit Card,Every 3 Months
107,52,Female,Blouse,Clothing,77,Arizona,L,Brown,Summer,2.7,No,Store Pickup,No,44,Credit Card,Every 3 Months
108,18,Other,Shirt,Accessories,0,Phoenix,S,Black,Summer,3,Yes,Standard,No,,Debit Card,Quarterly
109,63,Male,Boots,Footwear,21,Texas,L,Gray,Summer,3,No,Express,No,4,Credit Card,Quarterly
110,46,Other,Bag,Accessories,35,New York,M,White,Autumn,4,No,Express,Yes,3,Debit Card,Monthly
111,50,Female,Scarf,Accessories,33,Oregon,M,Peach,Fall,3.2,No,Standard,No,7,Credit Card,Monthly
112,58,Male,Boots,Footwear,22,North Dakota,L,Green,Fall,4,No,Free Shipping,Yes,49,Cash,Fortnightly
113,39,Male,Socks,Clothing,89,Tennessee,L,Indigo,Winter,4.6,No,2-Day Shipping,No,26,Debit Card,Monthly
114,65,Male,Coat,Outerwear,44,South Carolina,M,Black,Fall,2.9,No,Free Shipping,No,1,Venmo,Quarterly
115,25,Female,Boots,Footwear,96,Utah,M,Violet,Fall,3.6,No,2-Day Shipping,No,49,Debit Card,Annually
116,38,Male,Shoes,Accessories,1312,Los Angeles,M,Black,Autumn,4,Yes,Standard,Yes,,Cash,Weekly
117,30,Female,Belt,Accessories,31,Illinois,M,Charcoal,Summer,2.8,No,Store Pickup,No,46,Cash,Fortnightly
118,23,Female,Hoodie,Clothing,76,Connecticut,XL,Purple,Spring,4.6,No,Store Pickup,No,19,Bank Transfer,Bi-Weekly
119,63,Male,Shoes,Clothing,0,Los Angeles,S,Red,Autumn,1,No,Standard,Yes,,Credit Card,Quarterly
120,39,Male,Pants,Clothing,88,South Dakota,M,Cyan,Fall,2.9,No,Express,Yes,29,Venmo,Quarterly
121,41,Male,Scarf,Accessories,66,Pennsylvania,M,Black,Fall,2.5,No,Next Day Air,No,36,PayPal,Fortnightly
122,58,Male,Jewelry,Accessories,57,Nebraska,M,Indigo,Spring,3.5,No,Store Pickup,No,36,Venmo,Bi-Weekly
123,53,Female,Shoes,Footwear,87,Nebraska,M,Silver,Fall,4.8,No,Standard,No,43,Bank Transfer,Weekly
124,63,Female,Shoes,Footwear,74,West Virginia,S,Orange,Winter,4.8,No,Standard,No,32,Cash,Weekly
125,64,Male,Boots,Footwear,60,New Hampshire,M,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,13,Bank Transfer,Bi-Weekly
126,23,Male,Sneakers,Footwear,85,Oregon,M,Charcoal,Spring,4.8,No,Store Pickup,Yes,44,Debit Card,Fortnightly
127,40,Male,Sneakers,Footwear,22,Illinois,M,Magenta,Winter,4.2,Yes,Standard,Yes,12,Venmo,Annually
128,18,Male,Gloves,Accessories,25,Nebraska,L,Charcoal,Winter,4.3,No,Standard,No,38,Cash,Quarterly
129,69,Female,Pants,Clothing,74,Michigan,L,Silver,Summer,2.9,No,Free Shipping,No,30,Credit Card,Monthly
130,20,Male,Watch,Electronics,532,New York,,Black,Autumn,,Yes,Standard,Yes,,Debit Card,Monthly
131,61,Female,Gloves,Accessories,94,Pennsylvania,L,Peach,Winter,2.8,No,Free Shipping,No,39,Debit Card,Weekly
132,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly
133,55,Female,Scarf,Accessories,52,Maryland,M,Peach,Spring,2.8,No,Store Pickup,No,45,Bank Transfer,Quarterly
134,51,Male,Coat,Outerwear,28,Montana,XL,Olive,Winter,3.6,Yes,Next Day Air,Yes,42,Bank Transfer,Monthly
135,64,Male,Jewelry,Accessories,39,Louisiana,L,Brown,Spring,3.4,Yes,Express,Yes,40,PayPal,Quarterly
136,58,Female,Hat,Accessories,32,Alaska,M,Beige,Winter,3.3,No,2-Day Shipping,No,33,Credit Card,Fortnightly
137,41,Female,Hoodie,Clothing,67,Arkansas,M,Pink,Winter,3.5,No,Free Shipping,No,37,Credit Card,Monthly
138,47,Male,Hoodie,Clothing,23,Indiana,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,44,Cash,Monthly
139,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9,Cash,Weekly
140,60,Male,Laptop,Clothing,95,Chicago,S,Red,Summer,,No,Standard,No,16,Cash,Monthly
141,63,Other,Shirt,Electronics,1343,Los Angeles,,Blue,Spring,4,Yes,Standard,Yes,,PayPal,Quarterly
142,19,Male,Sunglasses,Accessories,25,Michigan,XL,Gold,Spring,4.3,No,Store Pickup,No,24,Cash,Fortnightly
143,53,Female,Watch,Clothing,0,Chicago,M,Blue,Summer,3,No,Express,Yes,,PayPal,Monthly
144,46,Other,Watch,Electronics,105,Houston,,Green,Winter,,Yes,Standard,Yes,,PayPal,Monthly
145,20,Male,Gloves,Accessories,39,South Dakota,S,Silver,Summer,3.7,Yes,Next Day Air,Yes,24,Credit Card,Weekly
146,25,Female,Skirt,Clothing,54,California,XL,Maroon,Spring,4,No,2-Day Shipping,No,4,Venmo,Annually
147,53,Female,Skirt,Clothing,78,Washington,M,Yellow,Spring,3.1,No,Free Shipping,No,6,Debit Card,Annually
148,63,Male,Boots,Footwear,71,Tennessee,M,Brown,Winter,3.9,No,Next Day Air,No,6,Credit Card,Quarterly
149,38,Male,Sweater,Clothing,32,Florida,M,White,Winter,3.6,No,Free Shipping,Yes,40,PayPal,Every 3 Months
150,47,Male,Scarf,Accessories,32,West Virginia,L,Turquoise,Spring,2.8,No,Next Day Air,Yes,40,PayPal,Bi-Weekly
151,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually
152,30,Male,Skirt,Clothing,48,Ohio,L,Green,Winter,4.9,No,Standard,No,33,Venmo,Fortnightly
153,35,Male,Hat,Accessories,39,South Dakota,L,Brown,Fall,3.9,Yes,Free Shipping,Yes,8,Bank Transfer,Quarterly
154,57,Male,Dress,Clothing,82,New York,XL,Orange,Spring,4.4,No,Free Shipping,No,19,Venmo,Annually
155,65,Male,Dress,Clothing,93,Arkansas,M,Black,Spring,3.9,No,Express,Yes,38,PayPal,Fortnightly
156,49,Male,Watch,Electronics,0,Phoenix,,White,Summer,5,Yes,Standard,No,,Cash,Weekly
157,60,Female,Shirt,Accessories,0,Phoenix,S,Green,Winter,2,Yes,Standard,Yes,44,Debit Card,Monthly
158,50,Male,Hoodie,Clothing,46,New York,S,Teal,Winter,3.1,No,2-Day Shipping,Yes,6,Credit Card,Fortnightly
159,48,Male,Jeans,Clothing,53,Nevada,L,Green,Fall,3.2,No,Store Pickup,No,5,Cash,Fortnightly
160,57,Other,Watch,Clothing,0,Phoenix,M,White,Summer,2,No,Express,No,38,Credit Card,Weekly
161,68,Male,Boots,Footwear,24,Rhode Island,L,Blue,Fall,2.7,No,Standard,No,15,Venmo,Annually
162,31,Male,Pants,Clothing,56,Mississippi,XL,Peach,Spring,4.5,No,Express,Yes,2,PayPal,Every 3 Months
163,38,Other,Bag,Electronics,0,Los Angeles,,Green,Summer,,Yes,Express,Yes,,Debit Card,Quarterly
164,35,Female,T-shirt,Clothing,59,Georgia,M,White,Fall,3.8,No,Free Shipping,No,3,Venmo,Weekly
165,30,Male,Hat,Accessories,58,New York,S,Peach,Fall,4,No,2-Day Shipping,Yes,37,Cash,Weekly
166,28,Male,Sneakers,Footwear,39,Montana,L,Yellow,Winter,3.8,No,Standard,No,7,Debit Card,Annually
167,62,Male,Sweater,Clothing,97,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,37,Venmo,Every 3 Months
168,38,Male,Jeans,Clothing,24,Vermont,L,Turquoise,Winter,4.6,Yes,Free Shipping,Yes,25,PayPal,Weekly
169,56,Other,Headphones,Clothing,0,New York,S,Red,Spring,,Yes,Express,Yes,,Debit Card,Quarterly
170,20,Male,Handbag,Accessories,36,Mississippi,S,Purple,Fall,3.1,Yes,Free Shipping,Yes,19,Venmo,Monthly
171,28,Other,Shoes,Electronics,0,Houston,,Red,Summer,,Yes,Express,No,,PayPal,Weekly
172,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually
173,22,Female,Sunglasses,Accessories,36,Iowa,S,Blue,Winter,2.9,No,Standard,No,30,Debit Card,Quarterly
174,18,Female,Hat,Accessories,31,New York,S,Peach,Winter,3.9,No,Express,No,35,Credit Card,Weekly
175,64,Female,Backpack,Accessories,99,Mississippi,S,Violet,Summer,2.7,No,Free Shipping,No,4,Debit Card,Annually
176,27,Male,Scarf,Accessories,56,West Virginia,L,Peach,Spring,2.7,No,Next Day Air,No,30,PayPal,Bi-Weekly
177,43,Female,Jeans,Clothing,56,Arkansas,M,Teal,Fall,3.3,No,Free Shipping,No,19,Cash,Monthly
178,35,Male,Backpack,Accessories,97,Washington,L,Teal,Summer,3.3,No,Store Pickup,Yes,43,Cash,Weekly
179,38,Female,Scarf,Accessories,39,Delaware,S,Teal,Spring,3.5,No,2-Day Shipping,No,24,Credit Card,Every 3 Months
180,21,Male,Boots,Footwear,63,South Carolina,L,Green,Spring,2.5,Yes,2-Day Shipping,Yes,14,Credit Card,Weekly
181,69,Male,T-shirt,Clothing,53,Maryland,M,Lavender,Winter,4,Yes,Standard,Yes,11,Venmo,Every 3 Months
182,40,Male,Shoes,Footwear,50,Texas,M,Indigo,Spring,,No,Free Shipping,Yes,17,Cash,Monthly
183,56,Female,Boots,Footwear,92,Rhode Island,M,Olive,Summer,3.1,No,Free Shipping,No,2,Credit Card,Annually
184,28,Male,Shoes,Footwear,55,New Mexico,M,Olive,Spring,3.7,No,Free Shipping,No,9,Debit Card,Every 3 Months
185,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly
186,19,Male,Sneakers,Footwear,54,Vermont,M,Gray,Spring,3.3,Yes,Express,Yes,8,Credit Card,Annually
187,59,Male,Blouse,Clothing,44,Hawaii,M,Maroon,Winter,3.5,No,Next Day Air,Yes,43,PayPal,Weekly
188,32,Male,Pants,Clothing,66,Georgia,M,Teal,Summer,4.4,No,Store Pickup,No,30,Credit Card,Weekly
189,41,Female,Scarf,Accessories,78,Indiana,M,Gold,Spring,3.1,No,Express,No,5,Bank Transfer,Bi-Weekly
190,33,Male,Gloves,Accessories,53,Connecticut,L,Gold,Summer,2.7,No,Next Day Air,No,32,Bank Transfer,Bi-Weekly
191,57,Male,Shoes,Clothing,0,New York,S,Red,Winter,,No,Express,No,,PayPal,Quarterly
192,68,Male,Coat,Outerwear,90,North Carolina,S,Beige,Summer,3.9,No,Next Day Air,Yes,21,Debit Card,Monthly
193,41,Male,T-shirt,Clothing,80,Delaware,L,Cyan,Summer,3.9,Yes,Free Shipping,Yes,17,Debit Card,Weekly
194,37,Female,Hat,Accessories,48,Pennsylvania,M,Magenta,Winter,3.2,No,Next Day Air,No,9,PayPal,Weekly
195,63,Male,Scarf,Accessories,32,Maine,M,Silver,Spring,4.1,Yes,Standard,Yes,39,Credit Card,Every 3 Months
196,54,Male,Dress,Clothing,94,Massachusetts,M,Purple,Winter,3.6,Yes,Standard,Yes,36,PayPal,Weekly
197,40,Other,Shirt,Electronics,450,New York,,Black,Autumn,5,Yes,Standard,Yes,,Cash,Quarterly
198,33,Male,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,48,Debit Card,Annually
199,32,Male,Blouse,Clothing,94,Vermont,S,Brown,Summer,4,No,Standard,No,43,Bank Transfer,Quarterly
200,53,Male,Skirt,Clothing,88,Minnesota,M,Gray,Summer,4.4,Yes,Store Pickup,Yes,28,Debit Card,Fortnightly
201,41,Female,Watch,Accessories,0,New York,S,Green,Summer,2,Yes,Standard,Yes,,Credit Card,Monthly
202,22,Female,Phone,Electronics,855,Los Angeles,,Red,Winter,,No,Standard,Yes,32,PayPal,Quarterly
203,53,Male,Backpack,Accessories,22,Michigan,M,Pink,Fall,4.3,No,Express,No,34,Bank Transfer,Weekly
204,18,Male,T-shirt,Clothing,64,Kansas,M,Silver,Summer,4.8,No,Next Day Air,No,4,Credit Card,Monthly
205,50,Female,Headphones,Clothing,0,Los Angeles,S,Blue,Winter,3,No,Standard,Yes,,Debit Card,Quarterly
206,45,Female,Sweater,Clothing,72,Pennsylvania,M,Yellow,Fall,3.8,No,Express,No,1,Debit Card,Bi-Weekly
207,35,Male,Watch,Clothing,585,New York,M,Green,Autumn,4,Yes,Express,Yes,41,Credit Card,Quarterly
208,42,Other,Shoes,Electronics,758,Houston,,White,Autumn,,No,Standard,No,48,PayPal,Quarterly
209,46,Female,Belt,Accessories,20,Rhode Island,XL,Teal,Summer,4.3,No,2-Day Shipping,No,6,Credit Card,Weekly
210,28,Male,Shoes,Electronics,1439,Chicago,,White,Spring,1,Yes,Standard,Yes,15,Cash,Monthly
211,28,Male,Handbag,Accessories,33,Texas,M,Silver,Fall,3.4,No,2-Day Shipping,No,28,Bank Transfer,Weekly
212,32,Male,Blouse,Clothing,96,Arkansas,S,Purple,Spring,5,No,Express,No,17,Cash,Weekly
213,60,Other,Bag,Clothing,0,Houston,XL,Green,Winter,,Yes,Express,No,11,Cash,Quarterly
214,22,Male,Jacket,Outerwear,67,New Mexico,L,Brown,Winter,3.1,No,Standard,No,46,Debit Card,Fortnightly
215,51,Female,Backpack,Accessories,96,California,L,Green,Fall,3.3,No,Standard,No,39,PayPal,Monthly
216,67,Male,Jacket,Outerwear,95,Indiana,XL,Purple,Winter,3.7,No,Express,No,5,Credit Card,Fortnightly
217,25,Male,Backpack,Accessories,68,Arizona,L,Violet,Summer,3.7,No,Free Shipping,No,33,Credit Card,Annually
218,23,Male,Phone,Clothing,496,Phoenix,M,Green,Autumn,,Yes,Standard,No,,Debit Card,Weekly
219,25,Male,Handbag,Accessories,21,Nevada,S,Gray,Spring,4.7,Yes,Store Pickup,Yes,30,PayPal,Fortnightly
220,44,Female,Hat,Accessories,94,Texas,XL,Cyan,Winter,3.5,No,Express,No,48,Bank Transfer,Quarterly
221,31,Male,T-shirt,Clothing,78,Oklahoma,L,Green,Summer,2.9,No,Express,No,50,PayPal,Annually
222,28,Male,Jeans,Clothing,76,California,M,Peach,Winter,3.2,Yes,Store Pickup,Yes,47,PayPal,Quarterly
223,29,Other,Laptop,Accessories,1366,Los Angeles,M,Green,Spring,2,Yes,Standard,Yes,,Debit Card,Weekly
